Name,Department,CGPA,Major Projects,Technologies Used,Internship Domain,Desired Future Role
Student 38,Cybersecurity,8.58,"Disease Prediction System, Movie Recommendation System","Flask, Pandas, Python",Artificial Intelligence,Web Developer
Student 39,Cloud Computing,9.62,"Chatbot for Student Queries, Cyber Threat Detection Tool, E-Commerce Website","Flask, Kali Linux, MongoDB, NLP, Node.js, Python, React, Wireshark",UI/UX Design,Software Engineer
Student 40,Cybersecurity,8.27,"Voice Controlled Smart Mirror, Movie Recommendation System, Cyber Threat Detection Tool","Flask, Kali Linux, Python, Voice Recognition, Wireshark",DevOps,Machine Learning Engineer
Student 41,Information Technology,9.37,"Virtual Reality Education Platform, Personal Finance Tracker","C#, Java, MySQL, Unity",Software Engineering,Mobile App Developer
Student 42,Computer Science Engineering,8.42,"Stock Price Prediction, Cloud Storage Optimization","AWS, Docker, Pandas, TensorFlow",Artificial Intelligence,Cloud Engineer
Student 43,Computer Science Engineering,9.57,"Cloud Storage Optimization, E-Commerce Website","AWS, Docker, MongoDB, Node.js, React",App Development,Cloud Engineer
Student 44,Artificial Intelligence & Data Science,7.6,"AI-Powered Traffic Management, Face Recognition Attendance System","OpenCV, Python",Data Science,Web Developer
Student 45,Information Technology,8.18,"Job Portal Web App, AI-Powered Traffic Management","Firebase, OpenCV, Python, React",Cybersecurity,Cybersecurity Analyst
Student 46,Software Engineering,8.74,"Movie Recommendation System, Online Voting System","Blockchain, Flask, Python, Solidity",Software Engineering,UI/UX Designer
Student 47,Software Engineering,7.75,"Cyber Threat Detection Tool, Smart Waste Management System","IoT, Kali Linux, Raspberry Pi, Wireshark",Software Engineering,AI Engineer
Student 48,Artificial Intelligence & Data Science,6.81,"Credit Card Fraud Detection, E-Commerce Website, Online Voting System","Blockchain, MongoDB, Node.js, Python, React, Scikit-learn, Solidity",Artificial Intelligence,Software Engineer
Student 49,Software Engineering,8.9,"Job Portal Web App, Stock Price Prediction","Firebase, Pandas, React, TensorFlow",Software Engineering,Cloud Engineer
Student 50,Software Engineering,8.95,"AI-Powered Traffic Management, Disease Prediction System, Cyber Threat Detection Tool","Kali Linux, OpenCV, Pandas, Python, Wireshark",Cybersecurity,AI Engineer
